ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
126,2,10.94,1.094,2.213,0.2218,0.09774,0.0107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6977,0.2038,0.3842,0.1332,0.6293,4.945
127,2,5.238,0.5241,0.7867,0.08062,0.02734,0.002998,nan,nan,nan,nan,1.246,0.05266,1.294,0.06028,1.592,0.1845,nan,nan,nan,nan,0.4343,0.1871,nan,0.6994,0.6558,5.236
128,2,5.403,0.5406,0.5514,0.05786,nan,nan,nan,nan,nan,nan,1.564,0.1016,1.728,0.1071,nan,nan,nan,nan,nan,nan,0.4366,0.2648,0.278,0.3058,0.6716,4.072
129,2,86.54,8.654,15.87,1.587,2.871,0.2874,0.4796,0.0485,0.4653,0.04717,1.901,0.07568,1.745,0.06107,1.616,0.04951,0.7324,0.02491,1.118,0.03851,0.3462,1.01,0.8343,0.5621,2.808,13.67
130,1,60.35,6.035,9.9,0.9914,1.841,0.1847,0.3056,0.03112,0.3406,0.03458,5.747,0.4403,4.238,0.334,5.063,0.4243,5.194,0.6343,4.624,0.4216,1.282,0.4512,1.14,0.6256,3.12,12.51
131,2,17.82,1.782,3.182,0.319,0.4473,0.04529,0.07028,0.007541,0.08355,0.008852,1.93,0.08266,1.727,0.07677,1.735,0.06521,1.296,0.05299,1.63,0.07405,0.3514,0.2658,0.1364,0.246,0.7827,4.509
132,2,6.62,0.6621,0.6025,0.06177,0.09394,0.01034,0.03294,0.003686,nan,nan,1.675,0.08812,1.724,0.09463,1.709,0.09708,1.41,0.0608,nan,nan,0.5025,0.1627,nan,0.5785,0.4231,3.782
133,2,40.41,4.041,8.55,0.856,0.2855,0.02923,0.1991,0.02008,0.1665,0.01702,3.154,0.1107,2.38,0.09393,2.296,0.1235,2.671,0.1524,3.266,0.4974,0.1611,0.7318,0.2887,0.8957,1.724,9.018
134,2,6.503,0.6504,1.121,0.113,0.2381,0.02422,0.04494,0.005159,0.03376,0.004037,1.347,0.06444,1.258,0.04404,1.094,0.02446,0.8168,0.008906,0.9163,0.03745,0.3608,0.1891,nan,0.2986,0.4971,4.072
135,2,111.9,11.19,19.08,1.908,3.568,0.357,0.5819,0.05881,0.7203,0.07273,1.903,0.07924,1.788,0.0554,1.678,0.05625,1.376,0.08995,1.785,0.07362,0.6489,0.5218,0.8164,0.1669,2.734,8.29
136,2,34.15,3.415,6.886,0.6895,1.08,0.1085,0.1525,0.01586,0.1818,0.01879,2.35,0.1205,2.257,0.1131,2.101,0.112,0.806,0.03958,1.39,0.1033,0.316,0.7504,0.6311,0.2225,1.608,6.836
137,2,10.81,1.081,1.219,0.124,0.2489,0.02572,nan,nan,0.02765,0.003266,1.515,0.03413,1.487,0.0375,1.338,0.05098,nan,nan,0.8017,0.1723,0.2577,0.3672,0.1478,0.3389,0.9837,5.963
138,2,13.99,1.4,2.82,0.2826,0.5722,0.05751,0.07415,0.008164,0.08093,0.008932,1.004,0.04312,0.9808,0.03477,0.9843,0.04026,0.7608,0.04426,0.6728,0.03741,0.201,0.6382,0.3327,0.5524,0.6875,5.236
139,2,29.65,2.966,3.655,0.3674,0.247,0.02487,nan,nan,nan,nan,2.223,0.04299,5.39,0.2589,1.465,0.2428,nan,nan,nan,nan,1.447,0.5115,1.315,0.3926,4.844,29.67
140,2,27.51,2.751,5.365,0.537,0.9027,0.09057,0.235,0.02429,0.264,0.02718,2.743,0.16,2.486,0.1151,2.32,0.08094,2.246,0.09775,1.905,0.05249,0.2106,0.4891,0.2097,0.5144,0.7139,4.363
141,0,4.501,0.4509,2.101,0.2109,0.09298,0.009932,nan,nan,nan,nan,1.394,0.03944,8.617,0.5917,2.232,0.6647,nan,nan,nan,nan,0.2115,0.313,nan,0.03979,3.882,52.07
142,1,312.5,31.25,66.91,6.691,11.74,1.174,2.54,0.2546,2.279,0.2285,4.22,0.1978,3.596,0.1546,3.81,0.2175,2.896,0.2267,2.757,0.1686,0.5347,0.8058,0.9541,0.2482,5.817,19.2
